"question","module","answer","type"
Can Odoo POS work with customer displays?,Point of Sales,1,
Can Odoo POS integrate with IoT systems?,Point of Sales,1,
Can products be created from the backend?,Point of Sales,1,
Can products be created from the POS interface?,Point of Sales,1,
Can you edit products from the POS register?,Point of Sales,1,
Do products need the Point of Sale option enabled?,Point of Sales,1,
Are products immediately available after being created in POS?,Point of Sales,1,
Can POS product categories organize products?,Point of Sales,1,
Can categories have parent and child relationships?,Point of Sales,1,
Can pricelists automate price adjustments?,Point of Sales,1,
Can pricelists offer discounts?,Point of Sales,1,
Can pricelists reward loyal customers?,Point of Sales,1,
Is a product combo a bundle of products?,Point of Sales,1,
Can a combo include multiple choices?,Point of Sales,1,
Can customers choose items from combo options?,Point of Sales,1,
Can combo choices have extra prices?,Point of Sales,1,
Can combo prices affect the total order?,Point of Sales,1,
Can Odoo track products using serial numbers?,Point of Sales,1,
Can Odoo track products using lot numbers?,Point of Sales,1,
Does POS import tracking numbers automatically?,Point of Sales,1,
Can tracking numbers be modified?,Point of Sales,1,
Does an invalid tracking number still allow a sale?,Point of Sales,1,
Can Odoo POS support cash payments?,Point of Sales,1,
Can Odoo POS support card payments?,Point of Sales,1,
Can Odoo POS support online payments?,Point of Sales,1,
Can payment methods be configured in settings?,Point of Sales,1,
Can you assign a journal to a payment method?,Point of Sales,1,
Can you open the POS register from the dashboard?,Point of Sales,1,
Can you add products to the cart by clicking them?,Point of Sales,1,
Can you apply discounts to products?,Point of Sales,1,
Can you change product quantity in the cart?,Point of Sales,1,
Can you proceed to payment after adding items?,Point of Sales,1,
Can you create customers from the POS register?,Point of Sales,1,
Can customers earn loyalty points?,Point of Sales,1,
Can you assign a customer to an order?,Point of Sales,1,
Can you search orders in the POS system?,Point of Sales,1,
Can paid orders be refunded?,Point of Sales,1,
Can you apply discounts to the entire order?,Point of Sales,1,
Can you apply discounts to individual products?,Point of Sales,1,
Can POS support loyalty programs?,Point of Sales,1,
Can promotions be applied automatically?,Point of Sales,1,
Can coupon codes be entered in POS?,Point of Sales,1,
Can employees check in and out using the Attendances app?,Human Resource,1,
Does Odoo Attendances require internet to log attendance?,Human Resource,0,
Can employees check in from the database interface?,Human Resource,1,
Can only administrators check in employees?,Human Resource,0,
Can managers see employee attendance records?,Human Resource,1,
Can employees edit all attendance records freely?,Human Resource,0,
Can attendance be recorded using kiosk mode?,Human Resource,1,
Is kiosk mode the only way to check attendance?,Human Resource,0,
Can the system log GPS location during check-in?,Human Resource,1,
Does the system always log location without permission?,Human Resource,0,
Can employees create their own employee records?,Human Resource,0,
Can HR create new employee records?,Human Resource,1,
Does the employee form store job and personal information?,Human Resource,1,
Can employee records only store names?,Human Resource,0,
Can goals be assigned to employees?,Human Resource,1,
Are goals preconfigured automatically in Odoo?,Human Resource,0,
Can managers track goal progress?,Human Resource,1,
Are goals always completed instantly?,Human Resource,0,
Can goals have deadlines?,Human Resource,1,
Do goals not include progress percentages?,Human Resource,0,
Can goals be marked as done?,Human Resource,1,
Are completed goals shown in red color?,Human Resource,0,
Can appraisals include employee self-assessment?,Human Resource,1,
Can employees skip self-assessment completely?,Human Resource,0,
Can managers provide feedback in appraisals?,Human Resource,1,
Can appraisals be completed without manager input?,Human Resource,0,
Can appraisal meetings be scheduled?,Human Resource,1,
Are appraisal meetings automatic without scheduling?,Human Resource,0,
Can appraisals include ratings?,Human Resource,1,
Do appraisals not include any rating system?,Human Resource,0,
Can appraisal templates be customized?,Human Resource,1,
Are appraisal templates fixed and cannot be changed?,Human Resource,0,
Can companies create multiple appraisal templates?,Human Resource,1,
Is only one appraisal template allowed?,Human Resource,0,
Can employees update their skills during appraisal?,Human Resource,1,
Can skills never be modified after creation?,Human Resource,0,
Can managers request peer feedback?,Human Resource,1,
Is peer feedback not supported in appraisals?,Human Resource,0,
Can attendance reports show overtime?,Human Resource,1,
Can attendance reports only show employee names?,Human Resource,0,
Can overtime be approved by managers?,Human Resource,1,
Is overtime always automatically approved?,Human Resource,0,
Can overtime be converted to time off?,Human Resource,1,
Is overtime never converted to time off?,Human Resource,0,
Can attendance records be manually created?,Human Resource,1,
Can employees create past attendance records themselves?,Human Resource,0,
Can attendance records be approved or refused?,Human Resource,1,
Can attendance records not be modified after creation?,Human Resource,0,
Can attendance track worked hours?,Human Resource,1,
Can attendance ignore working hours completely?,Human Resource,0,
Can automatic check-out be configured?,Human Resource,1,
Is automatic check-out always disabled?,Human Resource,0,
Can absence management be enabled?,Human Resource,1,
Are absences never tracked?,Human Resource,0,
Can overtime rules be configured?,Human Resource,1,
Are overtime rules preconfigured by default?,Human Resource,0,
Can overtime be based on time or quantity?,Human Resource,1,
Can overtime only be based on salary?,Human Resource,0,
Can overtime include tolerance settings?,Human Resource,1,
Is overtime always calculated without tolerance?,Human Resource,0,
Can employees belong to departments?,Human Resource,1,
Are departments not supported in Odoo HR?,Human Resource,0,
Can onboarding processes be configured?,Human Resource,1,
Is onboarding not supported in the system?,Human Resource,0,
Can offboarding processes be managed?,Human Resource,1,
Are employee exits not handled in Odoo?,Human Resource,0,
Can employee certifications be tracked?,Human Resource,1,
Can certifications not be stored in the system?,Human Resource,0,
Can employee training be managed?,Human Resource,1,
Is training not part of the HR module?,Human Resource,0,
Can employee equipment be tracked?,Human Resource,1,
Can equipment not be assigned to employees?,Human Resource,0,
Can employees earn badges?,Human Resource,1,
Are badges not supported in HR?,Human Resource,0,
Can attendance approvers be assigned?,Human Resource,1,
Are approvers not used in attendance?,Human Resource,0,
Can attendance access rights vary by role?,Human Resource,1,
Do all users have the same access rights?,Human Resource,0,
Can attendance data be filtered in reports?,Human Resource,1,
Can reports not be filtered?,Human Resource,0,
Can appraisal reports show status?,Human Resource,1,
Do appraisal reports not include status?,Human Resource,0,
Can appraisals be grouped by department?,Human Resource,1,
Can appraisals not be grouped?,Human Resource,0,
Can employees check out multiple times per day?,Human Resource,1,
Can employees only check out once per day?,Human Resource,0,
Can attendance logs store check-in and check-out times?,Human Resource,1,
Does attendance not record time logs?,Human Resource,0,
Can attendance track overtime balance?,Human Resource,1,
Is overtime balance not tracked?,Human Resource,0,
Can employees view their own attendance?,Human Resource,1,
Can employees not access their attendance data?,Human Resource,0,
Can managers analyze employee performance using reports?,Human Resource,1,
Is performance analysis not available?,Human Resource,0,
Can appraisal status change to done?,Human Resource,1,
Can appraisal status never change?,Human Resource,0,
Can appraisal records be reopened after completion?,Human Resource,1,
Can completed appraisals never be edited?,Human Resource,0,
Can attendance reports show differences between expected and worked hours?,Human Resource,1,
Can attendance reports not compare expected vs worked hours?,Human Resource,0,
Can Odoo CRM track leads and opportunities?,Customer Relationship Management,1,
Is Odoo CRM limited to only managing customer invoices?,Customer Relationship Management,0,
Can a salesperson belong to multiple teams when Multi Teams is enabled?,Customer Relationship Management,1,
Are email aliases used to generate leads automatically?,Customer Relationship Management,1,
Are lost opportunities permanently removed from the system?,Customer Relationship Management,0,
Can you merge similar leads into one opportunity?,Customer Relationship Management,1,
Is merging leads done automatically without user action?,Customer Relationship Management,0,
Can lost opportunities be restored?,Customer Relationship Management,1,
Can you customize lost reasons?,Customer Relationship Management,1,
Is the lost reason field required when marking an opportunity lost?,Customer Relationship Management,0,
Can multiple opportunities be restored at the same time?,Customer Relationship Management,1,
Are lost leads inaccessible after being marked lost?,Customer Relationship Management,0,
Can leads be converted into opportunities?,Customer Relationship Management,1,
Is probability fixed and never changes?,Customer Relationship Management,0,
Can predictive lead scoring calculate success probability?,Customer Relationship Management,1,
Is predictive scoring disabled by default?,Customer Relationship Management,0,
Can probability be adjusted manually?,Customer Relationship Management,1,
Can probability be set to 100% when converting leads?,Customer Relationship Management,0,
Can rule-based assignment be configured for teams?,Customer Relationship Management,1,
Are assignment rules only available to administrators?,Customer Relationship Management,0,
Can lead mining generate new leads?,Customer Relationship Management,1,
Is lead mining always free?,Customer Relationship Management,0,
Can you filter lead mining results by country?,Customer Relationship Management,1,
Does lead mining ignore industry filters?,Customer Relationship Management,0,
Can lead mining assign leads to specific salespeople?,Customer Relationship Management,1,
Is lead mining restricted to internal databases?,Customer Relationship Management,0,
Can opportunities be created from website forms?,Customer Relationship Management,1,
Are website forms unable to create leads?,Customer Relationship Management,0,
Can contact forms be customized?,Customer Relationship Management,1,
Is form customization limited to developers only?,Customer Relationship Management,0,
Can opportunities be tracked in a pipeline?,Customer Relationship Management,1,
Are pipeline stages fixed and unchangeable?,Customer Relationship Management,0,
Can opportunities be marked as won?,Customer Relationship Management,1,
Are won opportunities considered lost?,Customer Relationship Management,0,
Can you send quotations directly from CRM?,Customer Relationship Management,1,
Is the Sales app unrelated to quotation creation?,Customer Relationship Management,0,
Can you preview quotations before sending?,Customer Relationship Management,1,
Is it impossible to email quotations from Odoo?,Customer Relationship Management,0,
Can quotations include multiple products?,Customer Relationship Management,1,
Can you organize products into sections on a quotation?,Customer Relationship Management,1,
Does Odoo prevent adding custom products?,Customer Relationship Management,0,
Can you track win/loss performance?,Customer Relationship Management,1,
Are reporting features missing in CRM?,Customer Relationship Management,0,
Can you filter reports by salesperson?,Customer Relationship Management,1,
Is grouping by campaign impossible?,Customer Relationship Management,0,
Can reports be saved for future use?,Customer Relationship Management,1,
Are reports always temporary and not savable?,Customer Relationship Management,0,
Can reports be exported to spreadsheets?,Customer Relationship Management,1,
Does Odoo prohibit exporting reports?,Customer Relationship Management,0,
Can pipeline analysis be viewed as graphs?,Customer Relationship Management,1,
Is graph view unavailable in CRM?,Customer Relationship Management,0,
Can you switch between graph and pivot views?,Customer Relationship Management,1,
Is pivot view unavailable?,Customer Relationship Management,0,
Can opportunities be grouped by stage?,Customer Relationship Management,1,
Is grouping by expected closing date impossible?,Customer Relationship Management,0,
Can forecasts show expected revenue?,Customer Relationship Management,1,
Does forecast ignore expected closing dates?,Customer Relationship Management,0,
Can opportunities be dragged between forecast months?,Customer Relationship Management,1,
Can activities be scheduled on opportunities?,Customer Relationship Management,1,
Can custom activity types be created?,Customer Relationship Management,1,
Are activities limited to default types only?,Customer Relationship Management,0,
Can activity types include document upload?,Customer Relationship Management,1,
Are activity types unrelated to follow-ups?,Customer Relationship Management,0,
Can email activities be tracked?,Customer Relationship Management,1,
Is call tracking unsupported?,Customer Relationship Management,0,
Can UTM parameters track campaign sources?,Customer Relationship Management,1,
Is marketing attribution unsupported?,Customer Relationship Management,0,
Can you track leads by source and medium?,Customer Relationship Management,1,
Does attribution ignore campaign data?,Customer Relationship Management,0,
Can pipeline filters be customized?,Customer Relationship Management,1,
Are custom filters unavailable?,Customer Relationship Management,0,
Can custom groupings be added in reports?,Customer Relationship Management,1,
Is grouping limited to one dimension?,Customer Relationship Management,0,
Can dashboards be shared with others?,Customer Relationship Management,1,
Are dashboards private only?,Customer Relationship Management,0,
Can sales teams have separate pipelines?,Customer Relationship Management,1,
Are all opportunities forced into one pipeline?,Customer Relationship Management,0,
Can customers be linked to opportunities?,Customer Relationship Management,1,
Are opportunities unable to link to customers?,Customer Relationship Management,0,
Can email templates be used when sending quotations?,Customer Relationship Management,1,
Is template customization impossible?,Customer Relationship Management,0,
Can recurring revenue be tracked?,Customer Relationship Management,1,
Does CRM ignore recurring revenue?,Customer Relationship Management,0,
Can reports measure days to close?,Customer Relationship Management,1,
Can sales teams track performance targets?,Customer Relationship Management,1,
Is salesperson tracking unavailable?,Customer Relationship Management,0,
Can opportunities include notes?,Customer Relationship Management,1,
Can CRM support multi-company setups?,Customer Relationship Management,1,
Is CRM limited to one company?,Customer Relationship Management,0,
Can you analyze conversion rates?,Customer Relationship Management,1,
Is conversion tracking unsupported?,Customer Relationship Management,0,
Can AI scoring improve over time?,Customer Relationship Management,1,
Does closing the POS register trigger the generation of accounting entries?,Point of Sales,1,multihop
Is the card payment method in Point of Sale required to use a Bank journal?,Point of Sales,1,multihop
Does applying a global discount in the POS register require clicking the vertical ellipsis icon first?,Point of Sales,1,multihop
Is the Reporting sub-module directly part of the Odoo product without going through Point of Sale?,Point of Sales,0,multihop
Can QR code payments be enabled without adding a bank account to the journal?,Point of Sales,0,multihop
Is it possible to create a product directly from the POS interface without going through the back-office menu?,Point of Sales,1,multihop
Does the Restrict Categories field belong to the Product & PoS categories section inside POS settings?,Point of Sales,1,multihop
Can Hot beverages and Soft drinks both belong to the same parent category called Drinks?,Point of Sales,1,multihop
Is the Point of Sale checkbox required to make a product available in POS?,Point of Sales,1,multihop
Does the POS product category configuration reside under Point of Sale → Products menu?,Point of Sales,0,multihop
Does issuing an invoice in POS create an entry in the accounting journal?,Point of Sales,1,multihop
Is the accounting journal used for invoices configurable per payment method?,Point of Sales,1,multihop
Can customers generate their own invoice by scanning a QR code on their receipt?,Point of Sales,1,multihop
Does enabling QR codes on receipts require navigating through Point of Sale → Configuration → Settings?,Point of Sales,1,multihop
Is the Invoice smart button accessible directly from the POS dashboard?,Point of Sales,0,multihop
Is the Orders report accessible from the POS dashboard through the vertical ellipsis button?,Point of Sales,1,multihop
Does the Sessions report under Analytics belong to the Point of Sale module?,Point of Sales,1,multihop
Can a detailed session report be generated by selecting any order directly?,Point of Sales,0,multihop
Does the order record in Analytics include both the Employee field and the Customer field?,Point of Sales,1,multihop
Is the Receipt Number a field that belongs to the order data object in the Analytics module?,Point of Sales,1,multihop
Does creating a POS from the dashboard automatically apply preconfigured settings based on business type?,Point of Sales,1,multihop
Is the IoT system connection configurable from within the POS settings menu?,Point of Sales,1,multihop
Does the POS Dashboard contain POS cards that each represent a different business type?,Point of Sales,1,multihop
Can multiple employees log in to the same POS session using a feature within POS settings?,Point of Sales,1,multihop
Is the ePOS printer configured under the same settings menu as the IoT system in Point of Sale?,Point of Sales,1,multihop
Is the Flexible Taxes feature required before configuring fiscal positions in POS?,Point of Sales,1,multihop
Does the Default fiscal position apply to all sales in a selected POS?,Point of Sales,1,multihop
Can a fiscal position be assigned to an individual customer in Odoo POS?,Point of Sales,1,multihop
Is the Accounting section where Flexible Taxes is configured located under POS Settings?,Point of Sales,1,multihop
Does applying a fiscal position to a POS order require navigating through the fa-book Tax button?,Point of Sales,1,multihop
Does the Odoo Point of Sale module integrate with barcode scanners?,Point of Sales,1,multihop
Is the Glory cash machine used to automate cash payment transactions in POS?,Point of Sales,1,multihop
Does the Urban Piper integration relate to online delivery payment methods in POS?,Point of Sales,1,multihop
Is electronic shelf labels listed as a hardware integration within the Point of Sale module?,Point of Sales,1,multihop
Does the self-ordering feature belong directly to the Point of Sale module in Odoo?,Point of Sales,1,multihop
Does an invalid tracking number in a POS sale block the transaction from proceeding to the payment screen?,Point of Sales,0,multihop
Is a cash journal required when configuring a cash payment method for POS?,Point of Sales,1,multihop
Does the Closing Register pop-up show the expected amounts grouped by payment method?,Point of Sales,1,multihop
Is the Payments Difference window triggered only when the counted cash matches the expected amount?,Point of Sales,0,multihop
Does the Online Payment setting in Payment Methods require linking to both a payment provider and the Allowed Providers field?,Point of Sales,1,multihop
Does an employee need a valid contract before a payslip can be generated for them?,Human Resource,1,multihop
Can the Attendance report's Expected Hours field be configured directly from within the Attendances app without referencing any working schedule?,Human Resource,0,multihop
Does enabling the Payroll Entries setting in Odoo's Accounting configuration cause payroll slips to be posted in the Accounting app?,Human Resource,1,multihop
Is the Deferred Time Off feature in Payroll settings used to avoid cancelling and reprocessing payslips when time off is taken after payslips are validated?,Human Resource,1,multihop
Does archiving a departing employee in the Employees app automatically generate a payslip for them?,Human Resource,0,multihop
Is the Balance field in the Attendance report related to unapproved overtime?,Human Resource,1,multihop
Does the Recruitment module require the Surveys application to be installed in order to send interview surveys to applicants?,Human Resource,1,multihop
Can an employee be paid via direct deposit in Odoo Payroll if their bank account is marked as Untrusted?,Human Resource,0,multihop
Is the salary structure type the direct parent of salary rules in Odoo's salary hierarchy?,Human Resource,0,multihop
Does a payslip's Salary Computation tab get populated automatically when the payslip form is first created?,Human Resource,0,multihop
Can a manager identify which employees logged the most overtime using the Attendance Reporting feature in Odoo?,Human Resource,1,multihop
"Does the Onboarding plan in Odoo Employees require the Fleet app to be installed for the ""Take Back Fleet"" offboarding step to appear?",Human Resource,1,multihop
Is the YTD Reset Date a field that must be configured after a payroll localization has been installed?,Human Resource,1,multihop
Does enabling Batch Account Move Lines in Payroll Accounting settings prevent the creation of individual payments?,Human Resource,1,multihop
Can an applicant's resume be stored in the Odoo Documents application when Résumé Digitization is enabled?,Human Resource,1,multihop
Is the attendance widget in Odoo Attendances directly accessible from the main menu without clicking a colored circle icon?,Human Resource,0,multihop
Does a new job position in Odoo Recruitment require the expected skills to be defined by the Employees app rather than within Recruitment itself?,Human Resource,1,multihop
Does the Odoo Payroll module use data from the Attendances app when calculating employee work entries?,Human Resource,1,multihop
Is it possible for an accrual plan in Time Off to carry over unused time to the next year with a maximum cap?,Human Resource,1,multihop
"Does a refund payslip in Odoo have a default status of ""Done"" when first created?",Human Resource,0,multihop
Can the Public Holidays configured in the Time Off app affect apps like Planning and Manufacturing that use working schedules?,Human Resource,1,multihop
"Is the ""Difference"" field in the Attendance report the same as the Balance field?",Human Resource,0,multihop
Does enabling the Salary Configurator module allow employees to request extra time off during salary package negotiations?,Human Resource,1,multihop
Is the Contract Signed stage in the Recruitment flow the last stage before a new employee record is created?,Human Resource,1,multihop
Does deleting a recruitment stage in Odoo require all applicants currently in that stage to be moved or archived first?,Human Resource,1,multihop
Can the Payroll module generate payslips without any reference to an employee's working schedule?,Human Resource,0,multihop
Does the check-in action in Odoo Attendances log the employee's GPS coordinates and IP address?,Human Resource,1,multihop
"Is the ""Recruitment: Schedule Interview"" email template automatically sent when an applicant's card moves to the First Interview stage (if configured)?",Human Resource,1,multihop
Does the Non-Working Days Rule in Attendance overtime rulesets use a Quantity-based calculation?,Human Resource,0,multihop
Is it possible for a single company in Odoo Payroll to have multiple salary localization settings active simultaneously?,Human Resource,0,multihop
Does launching an onboarding plan in Odoo require the employee to already have a user account in the database?,Human Resource,1,multihop
"Is the ""Total today"" field in the Attendance check-out widget the sum of the ""Before HH:MM"" and ""Since HH:MM"" fields?",Human Resource,1,multihop
Does an overtime ruleset in Odoo Attendances come preconfigured by default when the Attendances app is installed?,Human Resource,0,multihop
"Can a salary adjustment of type ""Child Support"" be configured through Payroll → Configuration → Other Input Types?",Human Resource,1,multihop
Is the Expected Hours field in the Attendance report derived from the employee's working schedule set on their employee form?,Human Resource,1,multihop
"Does moving an applicant to the ""Contract Proposal"" stage in Recruitment automatically send them a signed contract?",Human Resource,0,multihop
Is a payslip batch required to process individual payslips in Odoo Payroll?,Human Resource,0,multihop
"Does the Offboarding plan's ""Organize knowledge transfer inside the team"" step get assigned to the fleet manager by default?",Human Resource,0,multihop
Can an employee's Family section information (e.g. marital status and number of dependent children) affect how their payroll is calculated in Odoo?,Human Resource,1,multihop
"Does creating a new Skill Type in the Employees app with the ""Certification"" toggle enabled allow that skill to appear in the employee's Certifications tab?",Human Resource,1,multihop
